þÿTipo esercizio storico pe;Insegna;Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Settore storico pe;Superficie somministrazione
bar caffÿý;carpe diem;"VIA ALSERIO N. 15 ; isolato:210; accesso: accesso esterno; (z.d. 9)";VIA;ALSERIO;15;1153;9;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Ristorante;Ristorante, trattoria, osteria";80
bar caffÿý;casa del caffe vergnano;"VIA SPERONARI N. 3 ;via speronari 003; isolato:446; accesso: accesso esterno; (z.d. 1)";VIA;SPERONARI;3;517;1;solo somministrazione;somministrazione;misto;"Gelateria;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;Bar gastronomici e simili;Tavola fredda;BAR CAFFÿý";95
bar caffÿý;casanova cafe;"VLE ESPINASSE CARLO N. 5 angolo via marcantonio dal re; isolato:244; accesso: accesso esterno; (z.d. 8)";VLE;ESPINASSE CARLO;5;7390;8;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;Bar gastronomici e simili;BAR CAFFÿý E SIMILI";96
bar caffÿý;casper bar;"VIA SPAVENTA SILVIO N. 1 ; isolato:001; accesso: accesso esterno; (z.d. 5)";VIA;SPAVENTA SILVIO;1;5255;5;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000";32
bar caffÿý;castle rock cafe;"VIA VENEZIA GIULIA N. 16 ; isolato:078; accesso: accesso esterno; (z.d. 8)";VIA;VENEZIA GIULIA;16;7500;8;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda;Ristorante";152
bar caffÿý;cavalier servito pub ital;"VIA TIRABOSCHI GEROLAMO N. 15 ; isolato:138; accesso: accesso esterno; (z.d. 4)";VIA;TIRABOSCHI GEROLAMO;15;4072;4;solo somministrazione;somministrazione;misto;;104
bar caffÿý;ced di gazzi elsa e c snc;"VIA GROSSICH ANTONIO N. 2 ; isolato:086; accesso: accesso esterno; (z.d. 3)";VIA;GROSSICH ANTONIO;2;2576;3;solo somministrazione;somministrazione;al banco;"Tavola fredda;Bar gastronomici e simili;Bar pasticc.gelat.crem.creper.;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI";109
bar caffÿý;celmc pub;"VLE MONZA N. 101 ; isolato:305; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;101;2274;2;solo somministrazione;somministrazione;misto;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.";44
bar caffÿý;cenisio cafe;"VIA CENISIO N. 23 ; isolato:032; accesso: accesso esterno; (z.d. 8)";VIA;CENISIO;23;7184;8;solo somministrazione;somministrazione;al banco;"Tavola fredda;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.";30
bar caffÿý;central park;"LGO ZANDONAI RICCARDO N. 3 ; isolato:177; accesso: accesso esterno; (z.d. 8)";LGO;ZANDONAI RICCARDO;3;6485;8;;somministrazione;misto;"Tavola calda;Bar gastronomici e simili;BAR CAFFÿý;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Tavola fredda;Tav.calde,self service,fast f.";102
bar caffÿý;central park kafe;"VIA DEL DON N. 1 ;via della chiusa 001; isolato:331; accesso: accesso esterno; (z.d. 1)";VIA;DEL DON;1;596;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Prodotti di gastronomia;BAR CAFFÿý;BAR CAFFÿý E SIMILI";119
bar caffÿý;centro botanico;"PZA SAN MARCO N. 1 con 2ÿý ingr. su via solferino; accesso: accesso esterno; (z.d. 1)";PZA;SAN MARCO;1;1040;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Tavola fredda;Bar gastronomici e simili";19
bar caffÿý;champiols bar;"VIA VENIERO SEBASTIANO N. 48 ; isolato:166; accesso: accesso esterno; (z.d. 8)";VIA;VENIERO SEBASTIANO;48;6423;8;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;Licenza giochi leciti/elettr..;BAR CAFFÿý";48
bar caffÿý;charleston;"VIA CALZOLARI ICILIO N. 1 ; isolato:080; accesso: accesso esterno; (z.d. 5)";VIA;CALZOLARI ICILIO;1;5468;5;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Pizzeria;Genere Merceol.Autorizz.Sanit.;Tavola calda";183
bar caffÿý;charlotte cafe;"VIA DONIZETTI GAETANO N. 8 ; isolato:031; accesso: accesso esterno; (z.d. 1)";VIA;DONIZETTI GAETANO;8;3030;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Prodotti di gastronomia;Licenza giochi leciti/elettr..;Tavola fredda";38
bar caffÿý;chicchi bacche bar;"VIA GIANELLA GIUSEPPE N. 26 con ingresso da via mosca; accesso: accesso esterno; (z.d. 7)";VIA;GIANELLA GIUSEPPE;26;6775;7;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Cibi cotti preconfezionati;Tavola fredda";39
bar caffÿý;chilaro cafe;"VIA PIERO DELLA FRANCESCA N. 38 ; isolato:048; accesso: accesso esterno; (z.d. 8)";VIA;PIERO DELLA FRANCESCA;38;7188;8;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Tavola fredda;Bar gastronomici e simili;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.";125
bar caffÿý;chincaglieria;"RIP DI PTA TICINESE N. 17 ; isolato:074; accesso: accesso esterno; (z.d. 6)";RIP;DI PTA TICINESE;17;5150;6;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÿý";52
bar caffÿý;ciaky bar;"VIA VOLTRI N. 6 ; isolato:092; accesso: accesso esterno; (z.d. 6)";VIA;VOLTRI;6;5354;6;solo somministrazione;somministrazione;misto;"BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda";117
bar caffÿý;cielo e stelle;"VIA CAPECELATRO ALFONSO N. 75 ; isolato:235; accesso: accesso esterno; (z.d. 7)";VIA;CAPECELATRO ALFONSO;75;6575;7;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Bar gastronomici e simili";58
bar caffÿý;cigarettes  E  coffee;"PZA AMENDOLA GIOVANNI N. 1 ; isolato:160; accesso: accesso esterno; (z.d. 7)";PZA;AMENDOLA GIOVANNI;1;6363;7;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.";65
bar caffÿý;cin cin bar;"GLL BUENOS AIRES N. 11 ingr.anche in c.so buen.air.42; isolato:060; accesso: accesso esterno; (z.d. 3)";GLL;BUENOS AIRES;11;2146;3;solo somministrazione;somministrazione;misto;"Tavola fredda;Bar gastronomici e simili;Ristorante, trattoria, osteria;Prodotti di gastronomia;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";178
bar caffÿý;circolo romeo cerizza;"VIA MEUCCI ANTONIO N. 2 ; isolato:136; accesso: accesso esterno; (z.d. 2)";VIA;MEUCCI ANTONIO;2;2497;2;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda";190
bar caffÿý;ciritorno caffe;"VIA GIOIA MELCHIORRE N. 137 ; isolato:124; accesso: accesso esterno; (z.d. 2)";VIA;GIOIA MELCHIORRE;137;1108;2;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.";84
bar caffÿý;city bar;"VIA TORINO N. 61 ;via torino 061; isolato:399; accesso: accesso esterno; (z.d. 1)";VIA;TORINO;61;543;1;solo somministrazione;somministrazione;al banco;"Cibi cotti preconfezionati;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda";60
bar caffÿý;city caffe;"VLE CERTOSA N. 147 ; isolato:222; accesso: accesso esterno; (z.d. 8)";VLE;CERTOSA;147;7174;8;;somministrazione;misto;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";47
bar caffÿý;clarissa;"VIA BERGAMO N. 27 angolo via cadore; isolato:097; accesso: accesso esterno; (z.d. 4)";VIA;BERGAMO;27;3189;4;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;Tavola fredda;Prodotti di gastronomia;BAR CAFFÿý E SIMILI;BAR CAFFÿý";22
bar caffÿý;cleopatra caffe;"VIA CURIO DENTATO N. 11 ; isolato:143; accesso: accesso esterno; (z.d. 6)";VIA;CURIO DENTATO;11;5386;6;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Cibi cotti preconfezionati";44
bar caffÿý;click art cafe;"CSO SEMPIONE N. 34 ; isolato:059; accesso: accesso esterno; (z.d. 8)";CSO;SEMPIONE;34;7137;8;solo somministrazione;somministrazione;misto;"Tavola fredda;Bar gastronomici e simili;BAR CAFFÿý;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.";83
bar caffÿý;cocktails  E  dreams;"VIA FARUFFINI FEDERICO N. 4 ; isolato:211; accesso: accesso esterno; (z.d. 7)";VIA;FARUFFINI FEDERICO;4;6286;7;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý E SIMILI";22
bar caffÿý;coco cafe;"LGO SCALABRINI GIOVANNI BATTISTA N. 2 ; isolato:141; accesso: accesso esterno; (z.d. 6)";LGO;SCALABRINI GIOVANNI BATTISTA;2;5392;6;somministrazione/minuto;somministrazione;misto;"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Bar gastronomici e simili;BAR CAFFÿý";58
bar caffÿý;coffee bar preziosa;"VIA CARONCINI ALBERTO N. 1 ; isolato:146; accesso: accesso esterno; (z.d. 4)";VIA;CARONCINI ALBERTO;1;4093;4;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Bar gastronomici e simili";39
bar caffÿý;cogli l attimo;"VIA MACCHI MAURO N. 44 ; isolato:031; accesso: accesso esterno; (z.d. 2)";VIA;MACCHI MAURO;44;2133;2;solo somministrazione;somministrazione;misto;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili";93
bar caffÿý;colonial cafe;"CSO MAGENTA N. 85 ;cso magenta 085; isolato:068; accesso: accesso esterno; (z.d. 1)";CSO;MAGENTA;85;604;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Bar gastronomici e simili";86
bar caffÿý;colonna d oro;"VIA PIRELLI GIOVANNI BATTISTA N. 11 ; isolato:308; accesso: accesso esterno; (z.d. 2)";VIA;PIRELLI GIOVANNI BATTISTA;11;1195;2;solo somministrazione;somministrazione;misto;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Cibi cotti preconfezionati";110
bar caffÿý;colorado pub;"VIA ORIANI BARNABA N. 83 con 2ÿý ingr. p.le ai laghi 1; isolato:205; accesso: accesso esterno; (z.d. 8)";VIA;ORIANI BARNABA;83;7406;8;solo somministrazione;somministrazione;misto;"Ristorante;Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";127
bar caffÿý;context wine bar;"VLE CORSICA N. 12 ; isolato:265; accesso: accesso esterno; (z.d. 4)";VLE;CORSICA;12;3262;4;solo somministrazione;somministrazione;misto;"Tavola fredda;BAR CAFFÿý;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati";80
bar caffÿý;coop.case popol.vercelles;"VIA CACCIALEPORI N. 4 ; isolato:002; accesso: accesso esterno; (z.d. 7)";VIA;CACCIALEPORI;4;6557;7;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÿý E SIMILI;Seconda bottiglia;Ristorante, trattoria, osteria";161
bar caffÿý;coop concordia;"VIA F.LLI RIZZARDI N. 12 ; isolato:042; accesso: accesso esterno; (z.d. 8)";VIA;F.LLI RIZZARDI;12;6736;8;solo somministrazione;somministrazione;misto;"Cibi cotti preconfezionati;Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÿý";100
bar caffÿý;cooperativa la vittoria;"VIA GIORGI FERDINANDO N. 15 ; isolato:044; accesso: accesso esterno; (z.d. 8)";VIA;GIORGI FERDINANDO;15;6743;8;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý E SIMILI;Trattoria;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";188
bar caffÿý;cooperativa liberazione;"VIA LOMELLINA N. 14 ; isolato:257; accesso: accesso esterno; (z.d. 4)";VIA;LOMELLINA;14;3280;4;somministrazione/minuto;somministrazione;misto;"BAR CAFFÿý E SIMILI;Cucina tipica lombarda;Genere Merceol.Autorizz.Sanit.;Tavola fredda;Ristorante, trattoria, osteria;Wine,birr.,pub enot.,caff.,the;BAR CAFFÿý";104
bar caffÿý;coop. ferrera;"VIA LODOVICO IL MORO N. 147 ; isolato:035; accesso: accesso esterno; (z.d. 6)";VIA;LODOVICO IL MORO;147;5290;6;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Trattoria;Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000";193
bar caffÿý;crackerjack cafe;"VIA CANONICA LUIGI N. 64 ; isolato:106; accesso: accesso esterno; (z.d. 1)";VIA;CANONICA LUIGI;64;7121;1;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÿý E SIMILI;Giochi Legge 388/2000;BAR CAFFÿý";94
bar caffÿý;crackerjack cafe 2;"VIA MONTI VINCENZO N. 54 ; isolato:074; accesso: accesso esterno; (z.d. 1)";VIA;MONTI VINCENZO;54;6155;1;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;Giochi Legge 388/2000;Giochi Legge 388/2000;BAR CAFFÿý";93
bar caffÿý;crazy moon;"VIA MAMBRETTI ANTONIO N. 24 ; isolato:119; accesso: accesso esterno; (z.d. 8)";VIA;MAMBRETTI ANTONIO;24;7455;8;somministrazione/minuto;somministrazione;misto;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili";50
bar caffÿý;creazy bar;"VIA SAN VIGILIO N. 45 ; isolato:101; accesso: accesso esterno; (z.d. 6)";VIA;SAN VIGILIO;45;5424;6;somministrazione/minuto;somministrazione;al banco;Bar gastronomici e simili;28
bar caffÿý;cremeria mozart;"VIA FARNETI RODOLFO N. 14 ; isolato:048; accesso: accesso esterno; (z.d. 3)";VIA;FARNETI RODOLFO;14;2169;3;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI";41
bar caffÿý;cris bar;"VIA GALLARATE N. 131 ; isolato:213; accesso: accesso esterno; (z.d. 8)";VIA;GALLARATE;131;7420;8;solo somministrazione;somministrazione;al tavolo;"BAR CAFFÿý E SIMILI;BAR CAFFÿý;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda";81
bar caffÿý;cris bar ristorante;"VIA PARINI GIUSEPPE N. 5 ; isolato:089; accesso: accesso esterno; (z.d. 1)";VIA;PARINI GIUSEPPE;5;1049;1;somministrazione/minuto;minuto;misto;"Bocce;Tavola calda;Carte;Biliardo;Ristorante;BAR CAFFÿý";83
bar caffÿý;cristal;"VIA SFORZA ASCANIO N. 11 ; isolato:094; accesso: accesso esterno; (z.d. 5)";VIA;SFORZA ASCANIO;11;5201;5;solo somministrazione;somministrazione;misto;"BAR CAFFÿý E SIMILI;Disco-piano-americ.bar serali;Bar gastronomici e simili";138
bar caffÿý;cristiano rocco;"VIA SAMMARTINI GIOVANNI BATTISTA N. 41 ; isolato:152; accesso: accesso esterno; (z.d. 2)";VIA;SAMMARTINI GIOVANNI BATTISTA;41;1202;2;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda;BAR CAFFÿý E SIMILI";50
bar caffÿý;cristian s bar;"VIA DALMAZIA N. 2 ; isolato:058; accesso: accesso esterno; (z.d. 4)";VIA;DALMAZIA;2;3363;4;solo somministrazione;somministrazione;al banco;"Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI;Bar gastronomici e simili;BAR CAFFÿý;Elettr.Automatici Meccaniche;Tavola fredda;Genere Merceol.Autorizz.Sanit.";33
bar caffÿý;crono bar tavola calda;"VIA PASCOLI GIOVANNI N. 15 ; isolato:128; accesso: accesso esterno; (z.d. 3)";VIA;PASCOLI GIOVANNI;15;3132;3;solo somministrazione;somministrazione;misto;"Tavola fredda;Tavola calda;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";69
bar caffÿý;crota piemunteisa;"GLL DEL CORSO N. 4 con ingresso in p.zza beccaria;pza beccaria cesare 000; isolato:387; accesso: accesso esterno; (z.d. 1)";GLL;DEL CORSO;4;305;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Cibi cotti preconfezionati;Tavola fredda;BAR CAFFÿý;Bar gastronomici e simili";33
bar caffÿý;crystal bar;"VIA ROSSI PELLEGRINO N. 85 ; isolato:178; accesso: accesso esterno; (z.d. 9)";VIA;ROSSI PELLEGRINO;85;1510;9;solo somministrazione;somministrazione;misto;"Tavola fredda;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";38
bar caffÿý;cuba libre cafe;"VIA COMELICO N. 18 ; isolato:117; accesso: accesso esterno; (z.d. 4)";VIA;COMELICO;18;3195;4;solo somministrazione;somministrazione;misto;"Tavola fredda;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.";43
bar caffÿý;cubo lungo;"VIA SAN GALDINO N. 5 ; isolato:031; accesso: accesso esterno; (z.d. 8)";VIA;SAN GALDINO;5;7215;8;solo somministrazione;somministrazione;al banco;"Ristorante, trattoria, osteria;Tavola fredda;Seconda bottiglia;BAR CAFFÿý E SIMILI;Seconda bottiglia;BAR CAFFÿý;Wine,birr.,pub enot.,caff.,the;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.";193
bar caffÿý;dadas bar;"VIA CENISIO N. 42 ; isolato:014; accesso: accesso esterno; (z.d. 8)";VIA;CENISIO;42;7184;8;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;Giochi Legge 388/2000;BAR CAFFÿý;Bar gastronomici e simili";48
bar caffÿý;da giuliano;"VIA STEPHENSON GIORGIO N. 2 (ingresso su via mambretti); accesso: accesso esterno; (z.d. 8)";VIA;STEPHENSON GIORGIO;2;7456;8;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;Pizzeria;BAR CAFFÿý";68
bar caffÿý;daigo bar;"VIA CIVITALI MATTEO N. 41 ; isolato:239; accesso: accesso esterno; (z.d. 7)";VIA;CIVITALI MATTEO;41;6569;7;solo somministrazione;somministrazione;al banco;"Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý E SIMILI;BAR CAFFÿý";26
bar caffÿý;dal basso;"VIA LECCO N. 3 ; isolato:136; accesso: accesso esterno; (z.d. 3)";VIA;LECCO;3;2110;3;solo somministrazione;somministrazione;al banco;"Pizzeria;Tavola calda;BAR CAFFÿý;Pizzerie e simili";55
bar caffÿý;da luca e andrea cafe bar;"ALZ NAVIGLIO GRANDE N. 34 ; isolato:051; accesso: accesso esterno; (z.d. 6)";ALZ;NAVIGLIO GRANDE;34;5144;6;solo somministrazione;somministrazione;al banco;Ristorante, trattoria, osteria;49
bar caffÿý;dandy bar;"VIA BASSINI EDOARDO N. 31 ; isolato:081; accesso: accesso esterno; (z.d. 3)";VIA;BASSINI EDOARDO;31;2587;3;solo somministrazione;somministrazione;al banco;"Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Bar gastronomici e simili;Tavola fredda";79
bar caffÿý;dany bar;"VIA CASATI FELICE N. 23 ; isolato:100; accesso: accesso esterno; (z.d. 3)";VIA;CASATI FELICE;23;2122;3;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;Tavola fredda;Bar gastronomici e simili;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.";63
bar caffÿý;david wine bar;"VIA MARCHIONNI CARLOTTA N. 3 ; isolato:059; accesso: accesso esterno; (z.d. 9)";VIA;MARCHIONNI CARLOTTA;3;1658;9;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Tavola fredda;BAR CAFFÿý";30
bar caffÿý;da willy;"VIA BROLETTO N. 26 ;via broletto 026; isolato:378; accesso: accesso esterno; (z.d. 1)";VIA;BROLETTO;26;720;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÿý";92
bar caffÿý;debby bar;"VIA VALPARAISO num.007/a ; isolato:018; accesso: accesso esterno; (z.d. 6)";VIA;VALPARAISO;;6093;6;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Tavola fredda;Giochi Legge 388/2000;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.";25
bar caffÿý;de cherubini;"VIA TRINCEA DELLE FRASCHE N. 2 ; isolato:095; accesso: accesso esterno; (z.d. 5)";VIA;TRINCEA DELLE FRASCHE;2;5173;5;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Tavola calda;Bar pasticc.gelat.crem.creper.;BAR CAFFÿý";115
bar caffÿý;decimo bar;"VIA SANZIO RAFFAELLO N. 12 ; isolato:191; accesso: accesso esterno; (z.d. 7)";VIA;SANZIO RAFFAELLO;12;6283;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Prodotti di gastronomia;Gelateria";60
bar caffÿý;d e g.;"CSO VENEZIA N. 15 ;cso venezia 015; isolato:189; accesso: accesso esterno; (z.d. 1)";CSO;VENEZIA;15;238;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Cibi cotti preconfezionati";59
bar caffÿý;degustazione kiko riko;"VIA MELZO N. 16 ; isolato:149; accesso: accesso esterno; (z.d. 3)";VIA;MELZO;16;2184;3;somministrazione/minuto;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý;Prodotti di gastronomia";34
bar caffÿý;delizia bar;"VIA PARETO VILFREDO N. 7 ; isolato:186; accesso: accesso esterno; (z.d. 8)";VIA;PARETO VILFREDO;7;7440;8;solo somministrazione;somministrazione;al banco;"Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar pasticc.gelat.crem.creper.;BAR CAFFÿý";92
bar caffÿý;de santis;"CSO MAGENTA N. 9 ;cso magenta 009; isolato:343; accesso: accesso esterno; (z.d. 1)";CSO;MAGENTA;9;604;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÿý;Tavola calda";20
bar caffÿý;desiderio;"VIA BINDA AMBROGIO N. 3 ; isolato:018; accesso: accesso esterno; (z.d. 6)";VIA;BINDA AMBROGIO;3;5298;6;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Ristorante;BAR CAFFÿý E SIMILI;Pizzerie e simili;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Pizzeria";113
bar caffÿý;design caffe;"VIA PECCHIO GIUSEPPE N. 1 ; isolato:009; accesso: accesso esterno; (z.d. 3)";VIA;PECCHIO GIUSEPPE;1;2240;3;solo somministrazione;somministrazione;misto;"BAR CAFFÿý E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý;Cibi cotti preconfezionati";123
